source,target,group
Military Forces of Democratic Republic of Congo (2001-),UPLC: Union of Patriots for the Liberation of Congo,4
Bantu Ethnic Militia (Democratic Republic of Congo),Civilians (Democratic Republic of Congo),2
Mayi Mayi Militia (Kara-Kara),Military Forces of Democratic Republic of Congo (2001-),1
Mayi Mayi Militia (Mazembe),MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-),3
Rioters (Democratic Republic of Congo),Private Security Forces (Democratic Republic of Congo),3
CDF: Congolese Defence Forces,CDF: Congolese Defence Forces,4
Police Forces of Djibouti (1999-),Civilians (Djibouti),5
Police Forces of Djibouti (1999-),Civilians (International),1
Military Forces of Djibouti (1999-) Gendarmerie,Civilians (Djibouti),1
Military Forces of Djibouti (1977-1999),FRUD: Front of the Restoration of Unity and Democracy,1
Police Forces of Djibouti (1999-),Protesters (Ethiopia),2
Police Forces of Egypt (2014-),Civilians (Germany),3
Rioters (Egypt),Civilians (Egypt),61
Unidentified Armed Group (Egypt),Civilians (Italy),12
Police Forces of Egypt (2014-),Ajnad Misr,1
Protesters (Egypt),Private Security Forces (Egypt),109
Prison Guards (Egypt),Rioters (Egypt),4
Protesters (Egypt),Protesters (Egypt),38
Rioters (Egypt),Protesters (Egypt),1
Judiciary (Egypt),Civilians (Egypt),7
Prison Guards (Egypt),Civilians (Egypt),3
Military Forces of Egypt (2014-),Protesters (Egypt),15
Kheir Clan Militia (Egypt),Awlad Ibrahim Clan Militia (Egypt),76
Coptic Christian Militia (Egypt),Muslim Militia (Egypt),16
Hasam Movement,Private Security Forces (Egypt),27
Muslim Brotherhood,Private Security Forces (Egypt),14
Hasam Movement,Civilians (Egypt),49
Police Forces of Egypt (2014-),Ultras White Knights,10
Police Forces of Egypt (2014-),Police Forces of Egypt (2014-),19
Lewaa El-Thawra,Civilians (Egypt),9
State of Sinai,Civilians (Palestine),48
Police Forces of Equatorial Guinea (1979-),Protesters (Equatorial Guinea),17
Police Forces of Equatorial Guinea (1979-),Civilians (Equatorial Guinea),1
RSADO: Red Sea Afar Democratic Organisation,Military Forces of Eritrea (1993-),2
Mutiny of Military Forces of Eritrea (1993-),Military Forces of Eritrea (1993-),1
Military Forces of Eritrea (1993-),Military Forces of Ethiopia (1991-),1
Houthi Movement - Ansar Allah,Military Forces of Eritrea (1993-),1
Houthi Movement - Ansar Allah,Civilians (Eritrea),1
OLA: Oromo Liberation Army,Military Forces of Ethiopia (1991-),4
OLA: Oromo Liberation Army,Civilians (Ethiopia),1
Military Forces of Ethiopia (1991-),Rioters (Ethiopia),32
ONLA: Ogaden National Liberation Army,Civilians (Ethiopia),5
Protesters (Ethiopia),Unidentified Armed Group (Ethiopia),4
Rioters (Ethiopia),Military Forces of Ethiopia (1991-),3
Protesters (Ethiopia),Police Forces of Ethiopia (1991-) Liyu Division,14
Oromo Ethnic Militia (Ethiopia),Police Forces of Ethiopia (1991-),6
Nuer Ethnic Militia (Ethiopia),Anuak Ethnic Militia (Ethiopia),8
Unidentified Armed Group (Ethiopia),Protesters (Ethiopia),27
Military Forces of Ethiopia (1991-),Police Forces of Ethiopia (1991-),19
Unidentified Armed Group (Ethiopia),TPLF: Tigray People's Liberation Front,55
Military Forces of Ethiopia (1991-),Murle Ethnic Militia (South Sudan),48
Nuer Ethnic Militia (South Sudan),Civilians (Ethiopia),1
Anuak Ethnic Militia (Ethiopia),Civilians (Ethiopia),1
Police Forces of Ethiopia (1991-),Rioters (Ethiopia),11
Rioters (Ethiopia),Rioters (Ethiopia),39
Military Forces of Ethiopia (1991-),Military Forces of Eritrea (1993-),6
Police Forces of Ethiopia (1991-) Liyu Division,Civilians (Somalia),4
Military Forces of Ethiopia (1991-),OLA: Oromo Liberation Army,2
Police Forces of Ethiopia (1991-) Liyu Division,Unidentified Communal Militia (Ethiopia),6
Islamic State (Somalia),Military Forces of Ethiopia (1991-),7
Amhara Ethnic Militia (Ethiopia),Military Forces of Sudan (1989-),6
Military Forces of Sudan (1989-),Civilians (Ethiopia),1
Amhara Ethnic Militia (Ethiopia),Police Forces of Ethiopia (1991-),5
Unidentified Ethnic Militia (Ethiopia),Civilians (Ethiopia),18
Military Forces of Ethiopia (1991-),OLF: Oromo Liberation Front,2
Military Forces of Ethiopia (1991-),Amhara Ethnic Militia (Ethiopia),77
Oromo Ethnic Militia (Ethiopia),Military Forces of Ethiopia (1991-),2
Amhara Ethnic Militia (Ethiopia),Military Forces of Ethiopia (1991-),5
Military Forces of Ethiopia (1991-),Prisoners (Ethiopia),16
TPLF: Tigray People's Liberation Front,Civilians (Ethiopia),1
Military Forces of Ethiopia (1991-),Prison Guards (Ethiopia),3
Unidentified Armed Group (Ethiopia),Unidentified Armed Group (Ethiopia),2
Military Forces of Ethiopia (1991-),Oromo Ethnic Militia (Ethiopia),10
Prison Guards (Ethiopia),Rioters (Ethiopia),4
Prison Guards (Ethiopia),Unidentified Armed Group (Ethiopia),2
Amhara Tegadlo,Military Forces of Ethiopia (1991-),9
EPPF: Ethiopian People's Patriotic Front,Government of Ethiopia (1991-),5
ONLF: Ogaden National Liberation Front,Military Forces of Ethiopia (1991-),10
Military Forces of Ethiopia (1991-),Military Forces of Ethiopia (1991-),8
Rioters (Ethiopia),Civilians (Ethiopia),14
Gedeo Ethnic Militia (Ethiopia),Gurage Ethnic Militia (Ethiopia),10
Police Forces of Ethiopia (1991-),Police Forces of Kenya (2013-),26
Somali Ethnic Militia (Ethiopia),Civilians (Ethiopia),4
Government of Ethiopia (1991-),Prisoners (Ethiopia),2
Police Forces of Ethiopia (1991-),Protesters (South Sudan),3
Surma Ethnic Militia (Ethiopia),Civilians (Ethiopia),1
Prison Guards (Ethiopia),Protesters (Ethiopia),2
Military Forces of Ethiopia (1991-),EPPF: Ethiopian People's Patriotic Front,1
Civilians (Ethiopia),AGUDM: Patriotic Ginbot 7 for Unity and Democratic Movement,30
Police Forces of Ethiopia (1991-),Oromo Ethnic Militia (Ethiopia),7
Military Forces of Gabon (2009-) Republican Guard,Civilians (Gabon),20
Police Forces of Gambia (1994-),Protesters (Gambia),5
Police Forces of Gambia (1994-),Rioters (Gambia),1
Prison Guards (Gambia),Civilians (Gambia),1
Police Forces of Gambia (1994-),Civilians (Gambia),1
Unidentified Armed Group (Gambia),Police Forces of Gambia (1994-),5
Military Forces of Gambia (1994-) National Intelligence Agency,Civilians (Gambia),1
Jamond Clan Militia (Ghana),Jafok Clan Militia (Ghana),3
Unidentified Ethnic Militia (Ghana),Unidentified Ethnic Militia (Ghana),3
Rioters (Ghana),Police Forces of Ghana (2012-),1
Fulani Ethnic Militia (Nigeria),Ashanti Ethnic Militia (Ghana),2
Atulbabisi Clan Militia (Ghana),Atulbabisi Clan Militia (Ghana),1
Kato Communal Militia (Ghana),Kato Communal Militia (Ghana),4
Fulani Ethnic Militia (Ghana),Konkomba Ethnic Militia (Ghana),2
Zongo Communal Militia (Ghana),Civilians (Ghana),5
Vigilante Militia (Ghana),Unidentified Armed Group (Ghana),8
Military Forces of Ghana (2012-),Protesters (Ghana),3
Bassari Ethnic Militia (Ghana),Civilians (Ghana),3
NDC: National Democratic Congress,NPP: National Patriotic Party,1
UFDG: Union of Democratic Forces of Guinea,UFDG: Union of Democratic Forces of Guinea,2
Rioters (Guinea),Civilians (Guinea),3
Police Forces of Guinea (2010-),Rioters (Guinea),10
Rioters (Guinea),Military Forces of Guinea (2010-),3
Rioters (Guinea),Prison Guards (Guinea),6
Rioters (Guinea-Bissau),Police Forces of Guinea-Bissau (2014-),6
Denan Communal Militia (Ivory Coast),Koideguezon Communal Militia (Ivory Coast),2
Police Forces of Ivory Coast (2011-),Mutiny of Military Forces of Burkina Faso (2014-),4
Rioters (Ivory Coast),Prison Guards (Ivory Coast),2
Military Forces of Ivory Coast (2011-),Rioters (Ivory Coast),2
Lobi Ethnic Militia (Ivory Coast),Fulani Ethnic Militia (Ivory Coast),1
AQIM: Al Qaeda in the Islamic Maghreb,Police Forces of Ivory Coast (2011-),1
AQIM: Al Qaeda in the Islamic Maghreb,Civilians (Ivory Coast),1
Police Forces of Ivory Coast (2011-),Fulani Ethnic Militia (Ivory Coast),2
Unidentified Armed Group (Ivory Coast),Military Forces of Ivory Coast (2011-),2
Police Forces of Ivory Coast (2011-),Civilians (Ivory Coast),3
Unidentified Armed Group (Ivory Coast),Unidentified Armed Group (Ivory Coast),3
Rioters (Ivory Coast),Rioters (Ivory Coast),1
Broukro Communal Militia (Ivory Coast),Broukro Communal Militia (Ivory Coast),1
Unidentified Armed Group (Ivory Coast),Civilians (Ivory Coast),11
Abras Communal Militia (Ivory Coast),Abobo Communal Militia (Ivory Coast),1
Police Forces of Ivory Coast (2011-),Protesters (Ivory Coast),4
Rioters (Ivory Coast),Protesters (Ivory Coast),4
Rioters (Ivory Coast),Military Forces of Ivory Coast (2011-) Gendarmerie,1
Samburu Ethnic Militia (Kenya),Ndorobo Ethnic Militia (Kenya),7
Tugen Ethnic Militia (Kenya),Civilians (Kenya),2
Njemp Ethnic Militia (Kenya),Civilians (Kenya),5
Maasai Ethnic Militia (Kenya),Kalenjin Ethnic Militia (Kenya),4
Kikuyu Ethnic Militia (Kenya),Luo Ethnic Militia (Kenya),1
Vigilante Militia (Kenya),Civilians (Ethiopia),2
Vigilante Militia (Kenya),Police Forces of Kenya (2013-),1
Protesters (Kenya),Protesters (Kenya),11
Unidentified Ethnic Militia (Kenya),Unidentified Ethnic Militia (Kenya),4
Luo Ethnic Militia (Kenya),Nandi Ethnic Militia (Kenya),25
Rioters (Kenya),Civilians (China),31
Police Forces of Kenya (2013-),Vigilante Militia (Kenya),1
Unidentified Communal Militia (Somalia),Civilians (Kenya),12
Borana Ethnic Militia (Kenya),Auliyan Clan Militia (Somalia),2
Police Forces of Kenya (2013-),Islamic State (Kenya),1
Maasai Ethnic Militia (Kenya),Kipsigi Ethnic Militia (Kenya),1
Rioters (Kenya),Jubilee Coalition,17
Kisii Ethnic Militia (Kenya),Kipsigi Ethnic Militia (Kenya),6
Jibril Clan Militia (Kenya) ,Matan Clan Militia (Kenya),1
Jimo Communal Militia (Kenya),Agoro Communal Militia (Kenya),7
Police Forces of Kenya (2013-),Unidentified Armed Group (Kenya),3
Unidentified Armed Group (Kenya),Government of Kenya (2013-),4
Unidentified Armed Group (Lesotho),Civilians (Zimbabwe),3
Unidentified Armed Group (South Africa),Civilians (Lesotho),1
UNMIL: United Nations Mission in Liberia (2003-),Civilians (Liberia),1
Protesters (Liberia),Police Forces of Liberia (2005-),1
Police Forces of Liberia (2005-),Military Forces of Liberia (2005-) Presidential Guard,1
Police Forces of Liberia (2005-),Civilians (Liberia),1
Rioters (Liberia),Police Forces of Liberia (2005-),1
Vigilante Militia (Liberia),Unidentified Armed Group (Liberia),2
Police Forces of Liberia (2005-),Protesters (Liberia),4
Poro Sect Militia (Liberia),Sande Sect Militia (Liberia),2
Unidentified Armed Group (Ivory Coast),Civilians (Liberia),1
Police Forces of Liberia (2005-),Rioters (Liberia),2
ALP: All Liberian Party,Civilians (Liberia),7
Private Security Forces (Liberia),Protesters (Liberia),3
Vigilante Militia (Liberia),Police Forces of Liberia (2005-),2
Islamic State (Tripoli),Civilians (Ukraine),7
Wershefana Communal Militia (Libya),Civilians (Libya),2
Military Forces of Libya (2014-),BRSC: Shura Council of Benghazi Revolutionaries,2
Wershefana Communal Militia (Libya),Sabratha Communal Militia (Libya),1
Islamic State (Tripoli),Militia (Ibrahim Jadran),4
Military Forces of Libya (2014-),Ansar al-Sharia,2
Police Forces of Libya (2014-),Islamic State (Cyrenaica Province),6
Unidentified Armed Group (Libya),Misratah Communal Militia (Libya),1
Rioters (Libya),Misratah Communal Militia (Libya),2
Sabratha Communal Militia (Libya),Tiger Militia,3
Military Forces of Libya (2014-),Ajdabiya Revolutionaries' Shura Council,1
Unidentified Armed Group (Libya),Islamic State (Cyrenaica Province),2
Tabu Ethnic Militia (Libya),Tuareg Ethnic Militia (Libya),1
Islamic State (Cyrenaica Province),Civilians (Egypt),4
Ajdabiya Border Division,Militia (Ibrahim Jadran),2
Military Forces of Libya (2014-),Unidentified Armed Group (Libya),2
Military Forces of Libya (2014-) Special Forces,Sahawat Forces,2
Islamic State (Cyrenaica Province),Militia (Ibrahim Jadran),7
Military Forces of Libya (2014-),Unidentified Armed Group (Syria),12
Surman Communal Militia (Libya),Islamic State (Tripoli),4
Military Forces of Libya (2014-) Special Forces,Islamic State (Cyrenaica Province),1
Islamic State (Cyrenaica Province),Shura Council of Darnah Mujahidin,1
Military Forces of Libya (2014-),Islamic State (Cyrenaica Province),4
Zintan Ethnic Militia (Libya),Kiklah Communal Militia (Libya),3
Al-Kanni Brigade,Naja'a Ethnic Militia (Libya),5
Islamic State (Cyrenaica Province),Unidentified Armed Group (Libya),3
Ben Nayal Ethnic Militia (Libya),Civilians (Libya),2
Abu Salim Brigade,Unidentified Armed Group (Libya),1
Zintan Ethnic Militia (Libya),Civilians (Libya),1
Militia (Ibrahim Jadran),Unidentified Armed Group (Libya),3
Margahni Clan Militia (Libya),Misratah Communal Militia (Libya),1
Military Forces of Libya (2014-),JEM: Justice and Equality Movement,6
Unidentified Armed Group (Libya),Shura Council of Darnah Mujahidin,7
Qadhadhfa Ethnic Militia (Libya),Civilians (Libya),15
Military Forces of Libya (2014-) Special Forces,Ansar al-Sharia,17
Islamic State (Tripoli),Sabratha Communal Militia (Libya),7
Islamic State (Tripoli),Special Deterrence Forces,7
Military Forces of Libya (2014-),Omar Mukhtar Brigade,9
Islamic State (Cyrenaica Province),Misratah Communal Militia (Libya),5
Private Security Forces (Italy),Civilians (Libya),5
Military Forces of Libya (2014-),Islamic State (Tripoli),7
Sahawat Forces,Police Forces of Libya (2014-) Criminal Investigations Department,7
Islamic State (Tripoli),Civilians (Egypt),9
Unidentified Armed Group (Libya),Ahmad Al-Sharif Battalion,6
The Steadfastness Front,Furq Al-Sadisa Battalion,3
Unidentified Armed Group (Libya),Abu Salim Brigade,4
Wershefana Communal Militia (Libya),Vigilante Militia (Libya),1
Zawiya Communal Militia (Libya),Wershefana Communal Militia (Libya),2
Unidentified Armed Group (Libya),Civilians (India),2
Islamic State (Tripoli),Civilians (Bangladesh),3
Military Forces of Libya (2014-),Civilians (Libya),2
National Mobile Force (Libya),Jibreel Abaya Militia,1
Private Security Forces (Libya),Civilians (International),2
Special Deterrence Forces,Protesters (Libya),2
Unidentified Armed Group (Libya),Bab al-Tajoura Brigade,3
Military Forces of Libya (2014-),Special Deterrence Forces,2
Margahni Clan Militia (Libya),Civilians (Libya),5
Police Forces of Libya (2014-),Rioters (Libya),2
Police Forces of Libya (2014-),February 17 Martyrs Brigade,11
Islamist Militia (Libya),Civilians (Libya),8
Tripoli Revolutionaries Brigade,National Mobile Force (Libya),4
Unidentified Armed Group (Libya),Civilians (Serbia),18
Military Forces of Libya (2014-),Shura Council of Darnah Mujahidin,2
Military Forces of Libya (2014-),Shield Militia,5
JEM: Justice and Equality Movement,Omar Mukhtar Brigade,3
Unidentified Armed Group (Libya),Protesters (Libya),4
Police Forces of Libya (2014-),Unidentified Armed Group (Libya),4
Military Forces of Libya (2016-) Presidential Guard,Islamic State (Tripoli),2
Private Security Forces (Libya),Civilians (Libya),9
Surman Communal Militia (Libya),Shura Council of the Mujahideen Surman,8
Military Forces of Libya (2016-) Presidential Guard,Misratah Communal Militia (Libya),4
Wershefana Communal Militia (Libya),Misratah Communal Militia (Libya),1
Military Forces of Libya (2014-) Special Forces,Unidentified Armed Group (Libya),12
